h3_index,gpu_count,annual_pue,ac_coupled_base_lcoe,ac_coupled_total_lcoe,dc_coupled_base_lcoe,dc_coupled_total_lcoe,grid_base_lcoe,grid_total_lcoe,natural_gas_base_lcoe,natural_gas_total_lcoe,ng_config,ng_construction_years,latitude,longitude
8412d91ffffffff,750000,1.0979414770593916,0.7308282625967211,1.172128262596721,0.5766428604482258,1.0179428604482257,0.0615,1.057961911315333,0.1218321553262125,1.1222377334446447,3x GE 7HA.02,4.05,48.445311976615336,-116.02963793834527
8412d93ffffffff,24000,1.0979336799140156,0.60105241509122,1.04235241509122,0.4924423693406791,0.9337423693406792,0.0667,1.063221508684184,0.1885392799903282,1.174428573587671,1x Siemens SGT-A45,4.05,48.17619419814967,-115.63389610278712
8412d93ffffffff,50000,1.0979336799140156,0.60105241509122,1.04235241509122,0.4924423693406791,0.9337423693406792,0.0667,1.0632215086841843,0.1693172277019102,1.1552065212992526,2x Siemens SGT-800,4.05,48.17619419814967,-115.63389610278712
8412d93ffffffff,750000,1.0979336799140156,0.60105241509122,1.04235241509122,0.4924423693406791,0.9337423693406792,0.0667,1.0632215086841843,0.1304400338300666,1.1308527164830169,3x GE 7HA.02,4.05,48.17619419814967,-115.63389610278712
8412d95ffffffff,24000,1.098440185967119,0.7901661172580261,1.231466117258026,0.6499998630077481,1.0912998630077482,0.0615,1.057509784168393,0.1766784969592846,1.162113183285994,1x Siemens SGT-A45,4.05,48.35419794256735,-116.6244554564418
8412d95ffffffff,50000,1.098440185967119,0.7901661172580261,1.231466117258026,0.6499998630077481,1.0912998630077482,0.0615,1.0575097841683934,0.1575010046636186,1.142935690990328,2x Siemens SGT-800,4.05,48.35419794256735,-116.6244554564418
8412d95ffffffff,750000,1.098440185967119,0.7901661172580261,1.231466117258026,0.6499998630077481,1.0912998630077482,0.0615,1.0575097841683934,0.1217975037385639,1.1217488821841135,3x GE 7HA.02,4.05,48.35419794256735,-116.6244554564418
8412d97ffffffff,24000,1.0984833063397776,0.6966277287713646,1.1379277287713645,0.5702916013924022,1.0115916013924022,0.0615,1.0574707107242003,0.1766748339117905,1.1620708375287483,1x Siemens SGT-A45,4.05,48.08695113516558,-116.22798833846014
8412d97ffffffff,50000,1.0984833063397776,0.6966277287713646,1.1379277287713645,0.5702916013924022,1.0115916013924022,0.0615,1.0574707107242003,0.1574983529140574,1.1428943565310157,2x Siemens SGT-800,4.05,48.08695113516558,-116.22798833846014
8412d97ffffffff,750000,1.0984833063397776,0.6966277287713646,1.1379277287713645,0.5702916013924022,1.0115916013924022,0.0615,1.0574707107242003,0.1217945089457457,1.121706634836586,3x GE 7HA.02,4.05,48.08695113516558,-116.22798833846014
8412d99ffffffff,24000,1.0979654676237849,,,0.8963821594904439,1.337682159490444,0.0615,1.0579401521788898,0.1767188549348847,1.1625796055919857,1x Siemens SGT-A45,4.0,48.81110278975933,-115.87985502628482
8412d99ffffffff,50000,1.0979654676237849,,,0.8963821594904439,1.337682159490444,0.0615,1.05794015217889,0.1575302228405577,1.1433909734976586,2x Siemens SGT-A45,4.0,48.81110278975933,-115.87985502628482
8412d99ffffffff,750000,1.0979654676237849,,,0.8963821594904439,1.337682159490444,0.0615,1.05794015217889,0.1218304877653456,1.122214207004652,3x GE 7HA.02,4.05,48.81110278975933,-115.87985502628482
8412d9bffffffff,24000,1.0980742994551016,0.7034579389126113,1.1447579389126117,0.563777827725488,1.005077827725488,0.0667,1.063093980285912,0.1885271686005306,1.1742902090835838,1x Siemens SGT-A45,4.05,48.53339322374474,-115.432418793089
8412d9bffffffff,50000,1.0980742994551016,0.7034579389126113,1.1447579389126117,0.563777827725488,1.005077827725488,0.0667,1.0630939802859125,0.1693084128848621,1.1550714533679156,2x Siemens SGT-800,4.05,48.53339322374474,-115.432418793089
