h3_index,latitude,longitude,annual_pue,ac_coupled_base_lcoe,ac_coupled_total_lcoe,dc_coupled_base_lcoe,dc_coupled_total_lcoe,grid_base_lcoe,grid_total_lcoe,natural_gas_base_lcoe,natural_gas_total_lcoe,ng_config,ng_construction_years,gas_price,state,facility_load_mw,gpu_count
8444f55ffffffff,29.97709682018259,-82.51905580394616,1.14829540300127,0.3190270741802163,0.7603270741802164,0.2660340631262356,0.7073340631262357,0.0809,0.759320468918247,0.1445201672151125,0.8153474314441768,2× GE 6F.03 CC,3.0,6.5,Florida,128.1067058973292,100000
8444f57ffffffff,30.34801544845068,-82.7124795527526,1.147284212313673,0.3229300761379881,0.7642300761379881,0.270385670086108,0.7116856700861081,0.0809,0.7599176933345342,0.1446019729793611,0.81602048938055,2× GE 6F.03 CC,3.0,6.5,Florida,127.99389493624416,100000
8444f59ffffffff,29.67391504208528,-83.19501231030003,1.1532735226547055,0.3181206791148337,0.7594206791148337,0.2708402911152527,0.7121402911152528,0.0809,0.7563955857706094,0.1443890874185999,0.8123207173315031,2× GE 6F.03 CC,3.0,6.5,Florida,128.6620773711656,100000
8444f5bffffffff,30.045286876532195,-83.3918712585299,1.1509303212380957,0.3262194622082565,0.7675194622082565,0.2665190082454728,0.707819008245473,0.0809,0.7577691766704175,0.1445778411585682,0.8138693260622812,2× GE 6F.03 CC,3.0,6.5,Florida,128.40066396312506,100000
8444f5dffffffff,29.640850925383948,-82.75986554606463,1.1502824257945845,0.308577591650884,0.749877591650884,0.2567156723428059,0.6980156723428059,0.0809,0.7581499622964198,0.1443598185915144,0.8140282812649703,2× GE 6F.03 CC,3.0,6.5,Florida,128.32838312770835,100000
8444f69ffffffff,29.16529622479136,-81.28595710570953,1.1558461311796888,0.2728677700416874,0.7141677700416875,0.2292701075296333,0.6705701075296334,0.0809,0.7548939296307522,0.1441827013126559,0.8106276916471004,2× GE 6F.03 CC,3.0,6.5,Florida,128.94908400973404,100000
8444f6bffffffff,29.534419177357552,-81.47068954990299,1.1560949923433488,0.2880486573074514,0.7293486573074515,0.2374591925969951,0.6787591925969951,0.0809,0.7547490215112356,0.1441627835758679,0.8104643148719911,2× GE 6F.03 CC,3.0,6.5,Florida,128.97684758330485,100000
8448593ffffffff,32.59700836523022,-116.389918128943,1.1014695815915114,0.2778755969871175,0.7191755969871176,0.234845193163124,0.676145193163124,0.185,1.412438805221975,0.1996892472482038,0.8990348093917688,2× GE 6F.03 CC,3.0,12.75,California,122.882700196303,100000
8448597ffffffff,32.686479471954534,-115.88213882389604,1.1116884393462845,0.2178929299166222,0.6591929299166223,0.1830452746123629,0.624345274612363,0.185,1.4011731247806836,0.199037338336135,0.8919543791709966,2× GE 6F.03 CC,3.0,12.75,California,124.02274151456986,100000
84485a1ffffffff,32.28218390904576,-113.6796375887517,1.1182875208059089,0.219059781894498,0.6603597818944981,0.1842372176704752,0.6255372176704752,0.0684,1.0468133533162505,0.1447053077088624,0.8335334036953224,2× GE 6F.03 CC,3.0,6.29,Arizona,124.75895153990922,100000
84485a3ffffffff,32.61356051270877,-114.0133794809472,1.117974870647922,0.2304436179297337,0.6717436179297338,0.1921183736880426,0.6334183736880427,0.0684,1.0470867808186743,0.1447316993376961,0.8337524313293921,2× GE 6F.03 CC,3.0,6.29,Arizona,124.7240715066588,100000
84485a5ffffffff,32.36094014676134,-113.16699651764908,1.1160913918562356,0.2168784218790003,0.6581784218790003,0.1805007500779059,0.6218007500779059,0.0684,1.0487372141937517,0.1448909905602814,0.8350744910718387,2× GE 6F.03 CC,3.0,6.29,Arizona,124.5139459039613,100000
84485a7ffffffff,32.69372379512528,-113.49992221686809,1.119237189306875,0.2196587603040126,0.6609587603040127,0.1797092853709329,0.6210092853709329,0.0684,1.0459837595385957,0.1446252308983039,0.8328688588635181,2× GE 6F.03 CC,3.0,6.29,Arizona,124.86489893204828,100000
84485b1ffffffff,32.859609409291544,-114.8614774058305,1.114940056911838,0.2278686348532436,0.6691686348532437,0.1907791509688133,0.6320791509688133,0.185,1.4149641158973068,0.1987434162025369,0.8896396298122198,2× GE 6F.03 CC,3.0,12.75,California,124.38550009922692,100000
84485b3ffffffff,33.18603421270098,-115.199136562346,1.1128181570131364,0.2089890391302173,0.6502890391302174,0.1753278178378675,0.6166278178378675,0.185,1.3999403796391705,0.1989350387293847,0.8911486397275036,2× GE 6F.03 CC,3.0,12.75,California,124.14877564177804,100000
84485b5ffffffff,32.94321063790162,-114.34874116307354,1.116541100772416,0.2194317679215045,0.6607317679215046,0.1839213909020401,0.6252213909020401,0.0684,1.0483426423523723,0.1448529107009682,0.8347584262160341,2× GE 6F.03 CC,3.0,6.29,Arizona,124.56411655492266,100000
84485b7ffffffff,33.271088874143594,-114.68571131077708,1.1172396594821568,0.2353544650142481,0.6766544650142481,0.1976554773352486,0.6389554773352486,0.185,1.3951396196239294,0.1985365119725024,0.8880106612156402,2× GE 6F.03 CC,3.0,12.75,California,124.64204951097813,100000
84485bbffffffff,32.77402291555748,-115.372634524667,1.1133169158790568,0.2318510616825536,0.6731510616825536,0.193560285677247,0.6348602856772471,0.185,1.3993969312704837,0.1988899363428141,0.8907934300698724,2× GE 6F.03 CC,3.0,12.75,California,124.20441842775728,100000
84485bdffffffff,32.53139565136385,-114.52539228693117,1.119935747191286,0.1976305468709644,0.6389305468709644,0.1640378647981355,0.6053378647981356,0.0684,1.0453744244007397,0.1448440801633597,0.8326584174179986,2× GE 6F.03 CC,3.0,6.29,Arizona,124.94283179602785,100000
8448801ffffffff,27.94508377935509,-99.91516802283932,1.142782336453715,0.3374343389988214,0.7787343389988215,0.2792815605930576,0.7205815605930577,0.0548,0.7362257595857236,0.1179141059465858,0.7919776079364522,2× GE 6F.03 CC,3.0,3.24,Texas,127.49165441061758,100000
8448803ffffffff,28.312107315974405,-100.19438550686432,1.139207669875615,0.3037291680318065,0.7450291680318065,0.254859476427782,0.6961594764277821,0.0548,0.7383622367604123,0.1181972941972273,0.7943759085900354,2× GE 6F.03 CC,3.0,3.24,Texas,127.09285567049832,100000
8448805ffffffff,27.972572827048207,-99.42079240690364,1.144384499757313,0.2995368987796675,0.7408368987796676,0.2532771361991059,0.694577136199106,0.0548,0.7352725235952543,0.1177877443178233,0.790907542677125,2× GE 6F.03 CC,3.0,3.24,Texas,127.67039575417525,100000
8448807ffffffff,28.340214392494705,-99.6979937888104,1.1419174588652816,0.3235283803692552,0.7648283803692553,0.2748591195391709,0.716159119539171,0.0548,0.7367414458314794,0.1179824629163904,0.7925564942895551,2× GE 6F.03 CC,3.0,3.24,Texas,127.39516650465798,100000
8448821ffffffff,28.39087849299319,-98.70770386881136,1.1489701969073274,0.3242997645727306,0.7655997645727306,0.2714614070444586,0.7127614070444586,0.0548,0.7325588739505433,0.1174279822490517,0.7878612674600899,2× GE 6F.03 CC,3.0,3.24,Texas,128.18198759247372,100000
8448823ffffffff,28.75929310535508,-98.98280499003008,1.14207280979108,0.3549920311633354,0.7962920311633355,0.2935301939329189,0.7348301939329189,0.0548,0.7366487597594418,0.117970177444533,0.7924524496063804,2× GE 6F.03 CC,3.0,3.24,Texas,127.41249784231736,100000
8448825ffffffff,28.41344870758201,-98.213948879084,1.1531807496208322,0.2878964016907787,0.7291964016907787,0.2403566575082289,0.6816566575082289,0.0548,0.7300862270762639,0.1173697855966023,0.7853551504021035,2× GE 6F.03 CC,3.0,3.24,Texas,128.6517273795741,100000
8448827ffffffff,28.782421538202183,-98.48693688847162,1.1495626945748934,0.3279935771941511,0.7692935771941511,0.2684084496724657,0.7097084496724657,0.0548,0.732209834628482,0.1173817039123411,0.787469440194538,2× GE 6F.03 CC,3.0,3.24,Texas,128.24808811351156,100000
